s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
390k	13152.7	10357	12085.8	11147	10190.8	9464.66	8752.7	8308.84	7950.27	7613.47	7242.2	6869.48	6401.09	6102.54	5768.86	5443.29	5294.87	5223.48	5180.65	5102.52	
389k	13153.2	12603	12066.1	11146.2	10178.7	9452.44	8761.03	8365.59	8005.29	7642.58	6275.43	6872.46	6488.33	6116.24	5709.48	5482.18	5374.26	5289.01	5198.8	5110.65	
388k	13162.2	12591.4	10712.1	11055.3	10647	9451.13	8747.72	8243.15	7931.08	7615.71	7266.73	6898.02	6509.73	6145.22	5807.46	5428.57	5392.85	5314.3	5237.1	5123.67	
387k	13139.7	12616.2	12081.6	11133.8	10389	9376.94	8706.7	8228.84	7977.25	7629.37	7273.1	6901.45	6518.81	6156.66	5815.22	5500.92	4464.44	5265.88	5242.88	5148.71	
386k	13156.7	12605.1	12061.1	11167.7	9189.72	9514.16	7916.52	7178.62	7891.88	7643.63	7306.1	6918.35	6528.72	6168.91	5845.55	5523.16	5423.35	5335.32	4591.26	4768.3	
385k	13822.3	12476.5	12052.9	11184.8	10239.8	9450.78	8830.74	8368.54	8013.9	7665	7310.7	6939.83	6550.68	6179.88	5827	5520.83	5410.79	5346.38	5268.2	5163.83	
384k	12766.6	12611.7	12087.7	11205.8	10402.2	9374.61	8623.69	8232.67	7998.35	7660.85	7315.41	6938.93	6468.45	5205.02	5755.98	5485.57	5456.58	5363.71	5288.43	5194.19	
383k	12775.2	12617.1	12750.4	11194.2	10170.3	9519.99	8881.22	8323.03	8029.48	7709.26	7352.65	6962.98	6564.14	6186.84	5846.99	5539.28	5453.82	5372.14	5293.19	5211.45	
382k	13660	12617.8	11186.8	11203.3	10243.7	9540.74	8858.19	8377.62	8051.63	7687.98	7014.14	6964.1	6566.41	6191.77	5847.41	5537.66	5446.82	5328.26	5286.58	5191.35	
381k	12800.7	11889	12109.6	11219.1	10430.8	9409.72	8737.22	8246.14	8003.85	7668.99	7238.67	6886.18	5548.84	6187.03	5848.95	5545.45	5440.63	5361.4	5282.37	5182.71	
